customer_id,review_text,rating
C001,Excellent product quality and fast delivery. Very satisfied!,5
C002,Good value for money but shipping was slow.,4
C003,Amazing customer service. Will buy again.,5
C004,Terrible experience. Product arrived damaged.,1
C005,Decent product nothing special.,3
C006,Outstanding quality exceeded my expectations.,5
C007,Not worth the price paid disappointed.,2
C008,Average product works as expected.,3
C009,Love this brand always reliable.,5
C010,Poor packaging and late delivery.,2
C011,Great features and easy to use.,5
C012,Highly recommend to everyone.,5
C013,Product broke after one week very unhappy.,1
C014,Fair product for the price point.,3
C015,Superb quality and design.,5
C016,Worst purchase ever complete waste of money.,1
C017,Good product minor issues with setup.,4
C018,Exceptional performance and durability.,5
C019,Okay product nothing to complain about.,3
C020,Disappointed with customer support.,2
